time,x,y,psi,speed,curvature
0.83,0.6972,0.0219014,0.0313981,1.66,-2.15839e-05
0.84,0.714,0.0224291,0.0313977,1.68,-2.21039e-05
0.85,0.731,0.022963,0.0313973,1.7,-2.26301e-05
0.86,0.7482,0.0235032,0.0313969,1.72,-2.31625e-05
0.87,0.7656,0.0240497,0.0313965,1.74,-2.3701e-05
0.88,0.7832,0.0246025,0.0313961,1.76,-2.42458e-05
0.89,0.801,0.0251615,0.0313957,1.78,-2.47967e-05
0.9,0.819,0.0257268,0.0313952,1.8,-2.53538e-05
0.91,0.8372,0.0262984,0.0313947,1.82,-2.59171e-05
0.92,0.8556,0.0268762,0.0313943,1.84,-2.64866e-05
0.93,0.8742,0.0274604,0.0313938,1.86,-2.70622e-05
0.94,0.893,0.0280507,0.0313932,1.88,-2.76441e-05
0.95,0.912,0.0286474,0.0313927,1.9,-2.82321e-05
0.96,0.9312,0.0292503,0.0313922,1.92,-2.88263e-05
0.97,0.9506,0.0298595,0.0313916,1.94,-2.94266e-05
0.98,0.9702,0.030475,0.031391,1.96,-3.00332e-05
0.99,0.99,0.0310968,0.0313904,1.98,-3.06459e-05
1,1.01,0.0317248,0.0313898,2,-3.12648e-05
1.01,1.0302,0.032359,0.0313892,2.02,-3.18899e-05
1.02,1.0506,0.0329996,0.0313885,2.04,-3.25212e-05
1.03,1.0712,0.0336464,0.0313878,2.06,-3.31586e-05
1.04,1.092,0.0342995,0.0313871,2.08,-3.38022e-05
1.05,1.113,0.0349588,0.0313864,2.1,-3.4452e-05
1.06,1.1342,0.0356244,0.0313857,2.12,-3.5108e-05
1.07,1.1556,0.0362963,0.0313849,2.14,-3.57701e-05
1.08,1.1772,0.0369744,0.0313841,2.16,-3.64384e-05
1.09,1.199,0.0376588,0.0313833,2.18,-3.71129e-05
1.1,1.221,0.0383494,0.0313825,2.2,-3.77935e-05
1.11,1.2432,0.0390464,0.0313817,2.22,-3.84803e-05
1.12,1.2656,0.0397495,0.0313808,2.24,-3.91733e-05
1.13,1.2882,0.040459,0.0313799,2.26,-3.98724e-05
1.14,1.311,0.0411746,0.031379,2.28,-4.05778e-05
1.15,1.334,0.0418966,0.031378,2.3,-4.12892e-05
1.16,1.3572,0.0426248,0.0313771,2.32,-4.20069e-05
1.17,1.3806,0.0433592,0.0313761,2.34,-4.27307e-05
1.18,1.4042,0.0440999,0.0313751,2.36,-4.34607e-05
1.19,1.428,0.0448469,0.031374,2.38,-4.41968e-05
1.2,1.452,0.0456001,0.0313729,2.4,-4.49391e-05
1.21,1.4762,0.0463596,0.0313719,2.42,-4.56876e-05
1.22,1.5006,0.0471253,0.0313707,2.44,-4.64422e-05
1.23,1.5252,0.0478972,0.0313696,2.46,-4.72029e-05
1.24,1.55,0.0486754,0.0313684,2.48,-4.79699e-05
1.25,1.575,0.0494599,0.0313672,2.5,-4.8743e-05
1.26,1.6002,0.0502506,0.0313659,2.52,-4.95222e-05
1.27,1.6256,0.0510475,0.0313647,2.54,-5.03076e-05
1.28,1.6512,0.0518507,0.0313634,2.56,-5.10991e-05
1.29,1.677,0.0526601,0.0313621,2.58,-5.18968e-05
1.3,1.703,0.0534758,0.0313607,2.6,-5.27007e-05
1.31,1.7292,0.0542977,0.0313593,2.62,-5.35107e-05
1.32,1.7556,0.0551258,0.0313579,2.64,-5.43268e-05
1.33,1.7822,0.0559602,0.0313564,2.66,-5.51491e-05
1.34,1.809,0.0568008,0.0313549,2.68,-5.59775e-05
1.35,1.836,0.0576477,0.0313534,2.7,-5.68121e-05
1.36,1.8632,0.0585007,0.0313518,2.72,-5.76528e-05
1.37,1.8906,0.05936,0.0313503,2.74,-5.84997e-05
1.38,1.9182,0.0602256,0.0313486,2.76,-5.93527e-05
1.39,1.946,0.0610973,0.031347,2.78,-6.02118e-05
1.4,1.974,0.0619753,0.0313453,2.8,-6.10771e-05
1.41,2.0022,0.0628595,0.0313435,2.82,-6.19485e-05
1.42,2.0306,0.0637499,0.0313418,2.84,-6.2826e-05
1.43,2.0592,0.0646466,0.0313399,2.86,-6.37097e-05
1.44,2.088,0.0655494,0.0313381,2.88,-6.45994e-05
1.45,2.117,0.0664585,0.0313362,2.9,-6.54954e-05
1.46,2.1462,0.0673738,0.0313343,2.92,-6.63974e-05
1.47,2.1756,0.0682953,0.0313323,2.94,-6.73055e-05
1.48,2.2052,0.069223,0.0313303,2.96,-6.82198e-05
1.49,2.235,0.0701569,0.0313283,2.98,-6.91402e-05
1.5,2.265,0.071097,0.0313262,3,-7.00667e-05
1.51,2.2952,0.0720434,0.031324,3.02,-7.09994e-05
1.52,2.3256,0.0729959,0.0313219,3.04,-7.19381e-05
1.53,2.3562,0.0739546,0.0313197,3.06,-7.2883e-05
1.54,2.387,0.0749196,0.0313174,3.08,-7.38339e-05
1.55,2.418,0.0758907,0.0313151,3.1,-7.4791e-05
1.56,2.4492,0.076868,0.0313127,3.12,-7.57541e-05
