time,x,y,vx,vy,psi,y_ref,psi_ref,speed_ref,lateral_error,heading_error,speed_error,mpc_delta,pid_delta,acceleration
0.34,0.192978,0.00138897,0.607357,0.0056665,0.00102542,0.00594386,0.031405,0.86,-0.00461778,-0.0304235,-0.272643,0.0109696,2
0.35,0.205525,0.00145349,0.627357,0.00578026,0.00107014,0.00622031,0.031405,0.88,-0.00483134,-0.0303796,-0.272643,0.0111897,2
0.36,0.218472,0.00151969,0.647357,0.00589789,0.00111576,0.00679207,0.0314049,0.92,-0.00533858,-0.0303347,-0.292643,0.0114173,2
0.37,0.231819,0.00158764,0.667357,0.0060194,0.00116232,0.00708737,0.0314048,0.94,-0.00556768,-0.030289,-0.292643,0.0116524,2
0.38,0.245567,0.00165741,0.687357,0.0061447,0.00120985,0.00769683,0.0314047,0.98,-0.00610918,-0.0302423,-0.312643,0.0118949,2
0.39,0.259714,0.00172904,0.707357,0.00627382,0.00125838,0.00801098,0.0314046,1,-0.00635357,-0.0301947,-0.312643,0.0121448,2
0.4,0.274261,0.00180263,0.727357,0.0064067,0.00130794,0.00833141,0.0314045,1.02,-0.00660236,-0.0301461,-0.312643,0.0124019,2
0.41,0.289208,0.00187821,0.747357,0.0065433,0.00135855,0.00899112,0.0314043,1.06,-0.00718849,-0.0300964,-0.332643,0.0126663,2
0.42,0.304555,0.00195587,0.767357,0.00668363,0.00141024,0.00933039,0.0314042,1.08,-0.00745218,-0.0300457,-0.332643,0.0129378,2
0.43,0.320302,0.00203566,0.787357,0.00682761,0.00146305,0.0100278,0.031404,1.12,-0.00807193,-0.0299938,-0.352643,0.0132165,2
0.44,0.336449,0.00211766,0.807357,0.00697527,0.00151701,0.0103859,0.0314039,1.14,-0.00835025,-0.0299408,-0.352643,0.0135022,2
0.45,0.352996,0.00220194,0.827357,0.00712652,0.00157213,0.011121,0.0314037,1.18,-0.00900334,-0.0298866,-0.372643,0.013795,2
